Age,Industry_grouped,JobTitle_grouped,Salary,AdditionalComp,Country_cleaned,ExperienceOverall,ExperienceField,Education,Gender,Race
25-34,Education,Education & Training,55000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Management,68250.0,5000.0,United Kingdom,8 - 10 years,5-7 years,College degree,Non-binary,White
25-34,Finance,Marketing & Communications,34000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,62000.0,3000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Finance,Management,60000.0,7000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Education,Education & Training,62000.0,,United States,8 - 10 years,2 - 4 years,Master's degree,Man,White
25-34,Media & Entertainment,Project & Program Management,33000.0,2000.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Education & Training,50000.0,,United States,5-7 years,5-7 years,Master's degree,Man,White
45-54,Tech,Data & Analytics,112000.0,10000.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Finance,Management,45000.0,0.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Tech,Management,47500.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Executive,62000.0,0.0,United States,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Finance,Executive,100000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White"
25-34,Legal,Legal,52000.0,0.0,United States,2 - 4 years,2 - 4 years,,Woman,White
18-24,Healthcare,Management,23680.0,,Canada,1 year or less,1 year or less,College degree,Woman,White
35-44,Tech,Engineering & IT,30000.0,625.0,United Kingdom,11 - 20 years,5-7 years,College degree,Man,White
35-44,Consulting,Executive,85000.0,5000.0,United States,8 - 10 years,8 - 10 years,Some college,Woman,White
45-54,Art & Design,Creative Arts,59000.0,,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Consulting,Management,98000.0,1000.0,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Executive,54000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
